_seek_cdir(dep.department_id)
attr: CONCURRENCY_CHECK_FIELD, call: False
attr: active, call: False
attr: adj_dep_ids, call: False
attr: adj_for_dep_ids, call: False
attr: all_parent_ids, call: False
attr: browse, call: True
attr: check_access_rights, call: True
attr: check_access_rule, call: True
attr: check_can_unlink, call: True
attr: check_eq_params, call: True
attr: check_field_access_rights, call: True
attr: check_recursion, call: True
attr: check_uniq_fields, call: True
attr: child_ids, call: False
attr: clear_caches, call: True
attr: clear_lfp_data, call: True
attr: compute_concurrency_field, call: True
attr: compute_concurrency_field_with_access, call: True
attr: control_org_ids, call: False
attr: copy, call: True
attr: copy_data, call: True
attr: copy_translations, call: True
attr: create, call: True
attr: createInheritsLinks, call: True
attr: create_date, call: False
attr: create_uid, call: False
attr: create_workflow, call: True
attr: default_get, call: True
attr: delete_workflow, call: True
attr: dict_domain_j, call: False
attr: dict_domain_v, call: False
attr: display_name, call: False
attr: distinct_field_get, call: True
attr: dlg_bn_do, call: True
attr: emptyMethod, call: True
attr: empty_fnct, call: True
attr: ensure_one, call: True
attr: env, call: True
attr: exists, call: True
attr: export_data, call: True
attr: f_adjustment_user_ids, call: False
attr: f_date_beg, call: False
attr: f_date_end, call: False
attr: f_lfp_adj_cbt, call: False
attr: f_lfp_adj_di, call: False
attr: f_lfp_adj_ncop, call: False
attr: f_lfp_adj_pred, call: False
attr: f_lfp_has_data, call: False
attr: f_lfp_logic, call: False
attr: f_main_prom_area_id, call: False
attr: f_rep_date, call: False
attr: f_used_reports, call: False
attr: f_used_reports_r, call: False
attr: f_user_role, call: False
attr: fields_get, call: True
attr: fields_get_keys, call: True
attr: fields_view_get, call: True
attr: filtered, call: True
attr: getAdjustmentDepIds, call: True
attr: getPromAreaForReport, call: True
attr: getSubordDepForReportType_allPrimaryDep, call: True
attr: getSubordDepForReportType_journalDomain, call: True
attr: getSubordDepForReportType_journalDomain_old, call: True
attr: getSubordDepForReportType_journalDomain_old2, call: True
attr: getSubordDepForReportType_setValDomain, call: True
attr: getSubordDepForReportType_setValDomain_old, call: True
attr: getSubordDepForReportType_setValDomain_old2, call: True
attr: get_access_action, call: True
attr: get_empty_list_help, call: True
attr: get_external_id, call: True
attr: get_formview_action, call: True
attr: get_formview_id, call: True
attr: get_metadata, call: True
attr: get_util, call: True
attr: get_viewSettingsParamValue, call: True
attr: get_xml_id, call: True
attr: id, call: False
attr: ids, call: False
attr: import_data, call: True
attr: invalidate_cache, call: True
attr: is_transient, call: True
attr: level, call: False
attr: lfp_data, call: False
attr: load, call: True
attr: m_all_adj_parent_ids, call: False
attr: m_all_parent_ids, call: False
attr: mapped, call: True
attr: modified, call: True
attr: name, call: False
attr: name_create, call: True
attr: name_get, call: True
attr: name_search, call: True
attr: new, call: True
attr: not_for_adjustment, call: False
attr: old_id, call: False
attr: onChange_ClearFields, call: True
attr: onchange, call: True
attr: openAdjSetter, call: True
attr: parent_id, call: False
attr: partner_ids, call: False
attr: pl_alloc_ids, call: False
attr: pool, call: True
attr: print_report, call: True
attr: prom_area_ids, call: False
attr: read, call: True
attr: read_gro up, call: True
attr: recompute, call: True
attr: redirect_workflow, call: True
attr: refresh, call: True
attr: rel_railway_id, call: False
attr: rel_rw_region_id, call: False
attr: rel_sector_id, call: False
attr: rel_subject_id, call: False
attr: removeDomainCache, call: True
attr: removeHierarchy, call: True
attr: resolve_2many_commands, call: True
attr: resolve_o2m_commands_to_record_dicts, call: True
attr: role, call: False
attr: search, call: True
attr: search_count, call: True
attr: search_read, call: True
attr: serv_type_id, call: False
attr: short_name, call: False
attr: showAddTextFieldDlg, call: True
attr: signal_workflow, call: True
attr: sorted, call: True
attr: step_workflow, call: True
attr: sudo, call: True
attr: toggle_active, call: True
attr: unlink, call: True
attr: update, call: True
attr: updateDomainForUser, call: True
attr: user_has_groups, call: True
attr: user_ids, call: False
attr: view_header_get, call: True
attr: view_init, call: True
attr: with_context, call: True
attr: with_env, call: True
attr: write, call: True
attr: write_date, call: False
attr: write_uid, call: False
